model,RMSE,MAE,MAPE
"ARIMA(2, 1, 1)",44.18183603876928,26.82932398952237,27.932980322709295
Prophet,59.309610084330856,45.90016551739611,67.68078336623358
LSTM,12.6789,7.7437,10.583
